uniqueid,dob,sex
151,16jan1947,2
152,19aug1939,1
153,13jun1977,2
154,21mar1959,2
155,29jan2001,2
156,07jun1949,2
157,21apr2010,1
158,02feb1953,2
159,20jan1973,2
160,25oct1940,1
161,16aug1949,2
162,07sep2008,2
163,21feb1962,2
164,24dec1978,2
165,17dec1989,2
166,28feb1934,2
167,25feb1989,1
168,23jul1936,1
169,16aug2008,2
170,06jul1922,2
171,29apr1986,2
172,26jul1981,1
173,05jan1996,1
174,08jul1949,1
175,23nov1926,1
176,15apr1994,2
177,31oct1931,2
178,11mar2000,1
179,14apr2002,2
180,10sep2001,1
181,24jun1969,2
182,24jun1936,2
183,26may1915,2
184,22mar1973,2
185,13oct1914,2
186,09aug2006,1
187,03jan1949,1
188,10jul1958,1
189,01jul2006,2
190,11mar1966,1
191,24oct1958,1
192,09dec1934,2
193,15apr1921,1
194,19jan1978,1
195,16mar1994,1
196,08sep1991,1
197,10sep1927,2
198,28oct1996,1
199,17jul1946,2
200,16oct1996,2
201,10sep1978,2
202,15oct1946,2
203,21apr1959,1
204,24dec1957,2
205,11jun1958,1
206,14may2006,2
207,20jan1979,1
208,30sep1969,1
209,02may2004,2
210,22aug1927,1
211,19apr1922,2
212,29dec1960,2
213,29jun2010,1
214,04aug2004,2
215,06jun2009,2
216,17jul2007,1
217,25jan1951,1
218,26apr1932,2
219,15aug1919,2
220,23mar1963,2
221,17jun1931,2
222,26dec1918,1
223,02dec1975,1
224,18dec1921,1
225,12feb1946,2
226,19dec2000,1
227,31mar1965,2
228,16may1998,2
229,05may1944,2
230,27mar1964,2
231,05oct1931,1
232,05jun1993,1
233,24oct2011,1
234,23jan1929,1
235,14mar1998,2
236,10sep1972,1
237,07nov1970,2
238,11sep1920,2
239,03apr1993,1
240,29dec1957,1
241,14apr1917,2
242,04mar1974,1
243,16dec1962,2
244,26jan2001,1
245,20jul1951,1
246,15apr1992,1
247,27sep1936,1
248,13jan1911,1
249,06jul1916,2
250,20aug1946,2
251,28aug1920,2
252,27sep1953,2
253,03jan1971,2
254,19mar1919,2
255,16oct1979,1
256,18oct1959,2
257,02apr2008,1
258,05oct1923,2
259,12nov2000,1
260,25jul2011,2
261,29may1967,2
262,20feb1962,2
263,18jul1991,2
264,07apr1999,1
265,08feb1961,2
266,05jul1963,1
267,05jul1976,1
268,15jun1987,1
269,30sep1955,2
270,18may1919,2
271,11jul2006,2
272,09mar1962,1
273,25nov1970,1
274,04oct1917,1
275,26nov1933,2
276,12oct1957,2
277,03mar1972,2
278,08may1931,1
279,09jul1978,1
280,02jan1981,2
281,30jul2012,2
282,17sep1957,2
283,20apr1972,2
284,14aug1994,1
285,12may1983,1
286,16mar1913,2
287,17jun1945,2
288,04aug1935,1
289,15feb2001,2
290,27jun1986,2
291,31oct1930,1
292,26nov1992,2
293,06feb1960,1
294,12may1947,2
295,19aug1978,2
296,04feb1938,1
297,16oct1961,1
298,05aug1941,2
299,22nov1937,1
300,06mar1948,2
301,01jun1952,1
302,24jan1971,1
303,24may1918,2
304,14feb2009,1
305,22mar1922,2
306,05sep1977,2
307,07apr1913,1
308,03feb1996,1
309,23jan2002,2
310,27nov2002,2
311,08feb1918,1
312,31may1938,2
313,10may1915,1
314,04dec1934,2
315,15aug1922,1
316,16jul1991,1
317,27nov1940,2
318,26may1977,1
319,30dec1977,2
320,26dec1959,2
321,12nov1955,2
322,23apr1982,2
323,09jun1949,1
324,27oct1970,2
325,19apr1967,2
326,18dec1963,1
327,02sep1914,2
328,01may1987,2
329,26aug2000,2
330,16may1924,1
331,24feb1914,2
332,13oct1979,2
333,26jun1962,2
334,07aug1935,1
335,01mar1999,2
336,31jul2007,1
337,13apr1976,1
338,21may2003,1
339,17feb1951,2
340,21jul1939,2
341,28jul2008,1
342,24mar1974,1
343,10mar2008,1
344,22aug1915,1
345,14mar2012,2
346,10oct1922,2
347,26jun1955,1
348,16oct1952,2
349,17oct1955,2
350,03nov2010,1
351,21aug1981,2
352,15apr1931,2
353,29jul2008,1
354,30nov1970,1
355,02feb1978,2
356,18nov1937,1
357,24jan1993,2
358,25feb1936,2
359,08sep1916,2
360,10sep1991,2
361,01nov1985,2
362,17apr1912,1
363,13mar1997,1
364,07jun1982,2
365,28may1985,1
366,31mar1950,1
367,09feb1995,2
368,04apr1921,1
369,20may1923,1
370,31jan1914,1
371,23dec1932,1
372,06may1947,1
373,17mar1973,1
374,30sep1955,2
375,16feb1986,1
376,28jul1962,2
377,24jan1973,1
378,21jan2005,2
379,02dec2008,1
380,13may1911,2
381,06oct2009,2
382,28dec1978,2
383,29dec1946,2
384,27dec1986,1
385,18jun2000,1
386,16jan1924,1
387,30nov1984,2
388,07may1948,2
389,24apr1916,1
390,09nov1935,2
391,24oct1954,2
392,14mar2011,1
393,14mar1974,2
394,30apr1916,2
395,25jan2001,1
396,27dec1931,1
397,03sep2000,2
398,08may1992,2
399,25dec1921,1
400,04apr1973,2
401,23jan1995,1
402,09dec1974,2
403,06may1976,1
404,09may1938,2
405,07aug1959,1
406,25jan1996,2
407,24may1927,2
408,06sep1966,2
409,24mar1974,1
410,20nov1932,1
411,28jun2000,2
412,15jun1953,2
413,26feb1931,2
414,02apr1992,2
415,05sep1913,1
416,10jan1926,2
417,30apr1986,1
418,23sep1918,1
419,21jan1975,1
420,27sep1917,1
421,01feb1996,1
422,12apr1970,1
423,28jun1923,2
424,19may1967,1
425,21dec1938,2
426,08oct1989,1
427,28aug1929,1
428,07sep1930,2
429,15oct1914,1
430,29oct1936,1
431,08apr1964,2
432,26jul1969,2
433,04aug1965,2
434,04jan1918,1
435,13may1998,2
436,13apr1963,2
437,02apr1910,2
438,04jan1987,1
439,23may1929,1
440,25sep1984,1
441,08may1935,1
442,09feb1942,1
443,11may1974,1
444,02jul1920,1
445,20jul1919,1
446,27dec1978,1
447,23sep1932,2
448,12dec2000,1
449,25oct1948,1
450,16aug1911,1
451,01mar1949,2
452,10feb2006,2
453,26mar2010,1
454,28apr1985,2
455,25nov1977,1
456,08jul1910,2
457,20sep1995,1
458,30mar1998,2
459,25jul1983,2
460,17jan1924,2
461,15may1965,2
462,05feb1954,1
463,18sep1985,2
464,27aug1956,2
465,02may1935,2
466,03jul1970,1
467,17feb1937,2
468,30jun1946,1
469,13jul1915,1
470,08jan1976,1
471,06may1935,1
472,30oct1954,2
473,18oct1991,2
474,09aug1932,1
475,20jul1936,1
476,30apr1981,2
477,03jun1918,1
478,27may1932,1
479,18aug1910,1
480,27nov1910,2
481,31aug1972,1
482,04jun1910,2
483,03mar1919,2
484,12dec1987,2
485,15jan1919,1
486,17oct1942,1
487,06jan2006,1
488,27oct1990,2
489,12jul1987,1
490,01jun1963,2
491,25dec1950,2
492,16jan1947,2
493,18jun1973,1
494,30oct1998,1
495,17dec1950,1
496,10jan1998,2
497,27sep1987,1
498,21jul1910,1
499,20nov1986,2
500,24jul1942,2
501,04aug1979,2
502,25nov1933,2
503,19aug1984,2
504,20aug1933,1
505,25sep1971,2
506,18mar1929,2
507,17may1955,1
508,19jan1973,1
509,31jan1915,1
510,05sep1962,1
511,25aug1932,1
512,01aug1983,2
513,20mar1930,2
514,23nov1950,1
515,18apr1962,2
516,27aug1998,2
517,08mar1947,1
518,05apr1977,2
519,28dec1976,1
520,05jul1925,1
521,10sep2003,1
522,23apr1997,1
523,12dec1955,1
524,07oct1994,2
525,07jul1967,2
526,29sep1979,1
527,19dec2011,2
528,08feb1912,1
529,12mar1956,1
530,27apr1912,2
531,19jun1946,2
532,22feb2001,2
533,11aug1920,2
534,14may1918,1
535,07dec1986,2
536,03jul1990,2
537,18dec2008,1
538,24aug2001,2
539,23aug1958,2
540,08mar2005,1
541,11feb1938,1
542,31aug1961,2
543,17mar1994,1
544,18sep1975,2
545,26dec2005,1
546,28sep1992,1
547,23aug1917,1
548,06dec1943,1
549,29apr1928,1
550,28mar1985,2
551,25feb1978,2
552,01apr1982,1
553,17may1960,2
554,21apr1943,1
555,16may1934,2
556,19oct1942,2
557,26apr1939,1
558,29jan2000,1
559,07jul1977,2
560,01apr1993,1
561,19jan1969,1
562,05jun1950,2
563,22mar1918,2
564,20oct1939,1
565,16may2010,2
566,14dec2009,2
567,03jan1927,2
568,13jun1967,2
569,06dec1970,1
570,27nov1929,2
571,19oct2008,2
572,01nov1921,1
573,08dec1980,2
574,27may1992,2
575,23feb1929,1
576,23mar1974,1
577,12nov2002,1
578,07feb1982,2
579,14mar1944,2
580,07jan1964,1
581,31dec1953,2
582,03dec1922,1
583,29mar1990,1
584,24feb1975,1
585,21sep1975,1
586,12may1979,1
587,03nov1951,1
588,02dec1946,2
589,13jun1961,1
590,19oct1914,2
591,27may1979,2
592,09jul1928,2
593,02feb2011,2
594,24jul1969,2
595,28aug1936,2
596,26nov1921,2
597,21oct1956,2
598,01jan1969,1
599,14feb1919,1
600,30mar1935,2
601,19aug1996,2
602,11jul1943,2
603,19jun1927,2
604,10jan2013,1
605,22oct1950,1
606,05dec1930,1
607,04mar1934,2
608,04jun2004,1
609,06apr1959,1
610,29jan1920,1
611,03mar1965,2
612,14aug2009,2
613,23nov1910,2
614,12apr1944,1
615,07oct1939,2
616,28jun1928,2
617,15jan1992,2
618,02dec1966,2
619,03jul2000,1
620,22jan1970,1
621,11oct1984,1
622,18aug1972,1
623,26feb1921,1
624,15oct1921,2
625,04jul1919,2
626,07aug1994,2
627,27mar1995,2
628,04jul1921,1
629,23nov1981,2
630,29sep1948,1
631,26aug1971,2
632,25oct1970,2
633,05dec1929,2
634,04apr1960,1
635,08may1957,1
636,31mar1974,2
637,04aug1986,1
638,03apr1969,2
639,17jan2006,1
640,20jan2005,2
641,02jul1962,1
642,14feb1994,2
643,25sep1985,1
644,18aug2010,1
645,25nov1948,2
646,21mar1963,2
647,16sep1984,1
648,23aug2003,2
649,27jan1943,1
650,17may1911,2
651,18nov1982,1
652,09mar2004,2
653,05mar1922,2
654,03nov1992,2
655,04aug1919,1
656,31aug1913,2
657,03sep1961,1
658,28jun1957,2
659,12jan1984,1
660,05may1975,1
661,20aug1991,1
662,07sep1934,1
663,17sep1976,1
664,12feb2001,1
665,01mar1913,1
666,10jun1924,2
667,12jan1983,1
668,16jun1954,1
669,23mar1975,2
670,07oct1919,2
671,20aug1986,1
672,01dec1926,2
673,31may1928,2
674,22apr1960,2
675,07mar1976,2
676,28aug2005,2
677,19jul1922,2
678,09jun1968,2
679,08jul2009,1
680,05oct1938,2
681,07dec1950,1
682,14sep1964,1
683,03mar1912,2
684,16nov1966,2
685,23nov1990,1
686,24may2007,2
687,09nov1960,2
688,29aug1984,2
689,26mar1911,1
690,02aug1971,2
691,03jan1950,2
692,24mar1996,2
693,18jan2011,1
694,16sep2009,2
695,19jul1946,1
696,19jan1931,2
697,20jul2012,1
698,02dec1963,2
699,20sep1991,2
700,04nov1930,1
701,18may1917,1
702,10jul1989,2
703,21jan1913,2
704,07sep2002,2
705,11sep1956,2
706,31aug2004,2
707,02feb1986,1
708,30oct1957,2
709,13jan2011,2
710,10jun1953,2
711,11jan1957,1
712,03nov1982,1
713,04nov1964,1
714,11jul1977,2
715,20feb1978,1
716,30may1923,2
717,06mar1955,1
718,06apr1925,2
719,20jul2004,2
720,18mar1966,1
721,12oct1997,1
722,09mar1934,2
723,01may1952,2
724,13nov1986,1
725,17mar1960,2
726,10mar1954,2
727,24aug1953,1
728,25feb1940,2
729,14jun1987,2
730,17apr1987,2
731,17feb1926,1
732,30mar1958,1
733,22dec1942,1
734,05aug1962,2
735,07oct1933,2
736,01aug1949,2
737,15feb1912,1
738,31oct1976,1
739,20jul1990,1
740,14oct1994,1
741,15dec1991,2
742,07oct1968,1
743,03nov1911,2
744,13feb1984,2
745,23apr1935,2
746,12jul1972,1
747,08jul1921,1
748,24sep1962,1
749,18oct1941,2
750,22aug1961,1
751,12oct1999,1
752,14apr1987,1
753,05may1965,2
754,21aug1977,2
755,21jun1935,1
756,28mar1960,2
757,09mar1921,2
758,24jul1974,1
759,15jan2004,2
760,27jun1938,1
761,28sep1961,2
762,04may1935,1
763,31aug1985,2
764,28nov1916,1
765,13mar1971,2
766,15jul1983,2
767,17mar1949,1
768,21aug2005,1
769,13mar2003,2
770,04jan1954,2
771,06nov1959,1
772,02sep1924,1
773,22feb1928,1
774,27nov1945,1
775,21mar1994,2
776,12nov1921,2
777,21oct1923,1
778,31oct1928,2
779,15apr1924,1
780,28jul1940,1
781,07apr1939,2
782,02jan1914,2
783,02sep1955,2
784,28may1964,1
785,01jul1974,2
786,07jul1923,1
787,22jan1936,1
788,02nov1940,2
789,22nov2006,1
790,12jan1947,2
791,06jul1958,2
792,16aug1965,2
793,28dec1923,2
794,09sep2008,1
795,05aug1931,1
796,26may1976,1
797,15nov1980,1
798,06mar1988,1
799,11jul1995,1
800,14dec1994,1
801,02may1979,1
802,21nov1936,2
803,25dec1915,1
804,11sep1922,2
805,17oct2000,2
806,06jun1971,2
807,05apr1941,2
808,18may1968,1
809,08jun1917,1
810,27apr2007,1
811,30dec1918,2
812,24dec1958,2
813,17mar2002,2
814,14jan1952,2
815,28apr1986,1
816,20dec2012,2
817,14mar2005,2
818,29jun1997,1
819,19jun1950,2
820,02feb2008,1
821,18may1958,1
822,31dec1985,2
823,12jan1929,1
824,18apr1992,2
825,12oct1961,1
826,30jun1964,2
827,04mar1936,1
828,13jan2010,2
829,01jan1965,1
830,09nov1915,1
831,25may1984,1
832,23dec2012,1
833,25may1960,1
834,26aug1922,2
835,20jan1998,1
836,06aug1983,2
837,01jul1984,2
838,20dec1957,2
839,05apr1924,2
840,17jun1956,1
841,20jan1943,2
842,01dec1990,1
843,02oct1975,2
844,07may1996,1
845,12jan1996,1
846,15aug1961,1
847,01dec1975,2
848,17mar1926,1
849,16jan1922,1
850,20nov1950,1
851,10jan1967,1
852,23apr1962,1
853,25oct1990,1
854,26oct1956,2
855,14feb2002,2
856,18dec1912,1
857,27jul1978,2
858,02dec1994,1
859,14aug1915,2
860,04jul1982,2
861,12sep1911,1
862,08nov1986,2
863,06oct1931,2
864,09jan2006,2
865,22nov1940,1
866,09jul1948,2
867,04jan1981,2
868,23apr2005,2
869,25dec1989,1
870,22mar1918,1
871,22nov1950,2
872,07jan1937,1
873,05may1996,1
874,03oct1914,1
875,21jul1911,1
876,03feb1981,1
877,07jul1980,1
878,20aug1933,2
879,20aug1971,1
880,12jun1918,2
881,06feb1969,1
882,18apr1982,1
883,04sep1990,2
884,08dec1994,1
885,28aug1976,1
886,19jan1935,2
887,01jul1952,1
888,17jan2011,2
889,04oct2009,1
890,13jul1943,1
891,16may1914,1
892,17mar2002,1
893,23may1932,1
894,22apr1924,2
895,06may1969,2
896,17jul2007,2
897,15oct1971,2
898,04oct1998,2
899,21mar1975,1
900,22jan1971,2
901,28dec1921,1
902,20aug1965,2
903,07feb2001,1
904,02aug1916,2
905,18jul1967,2
906,20jan2000,1
907,09feb1943,2
908,29may1945,2
909,22nov1945,1
910,28may2007,1
911,16feb1930,2
912,04feb1991,1
913,05jun1921,1
914,04dec1976,1
915,28jul1983,2
916,05jan2011,2
917,30dec1986,1
918,11nov1954,1
919,17may1912,1
920,03sep1998,1
921,02aug2005,2
922,06jul1996,1
923,05oct1996,2
924,09sep1965,1
925,25dec1970,2
926,16aug1971,2
927,02feb1991,1
928,17dec1933,1
929,29jan1944,1
930,09apr1967,1
931,21jun1996,1
932,01feb1949,2
933,01jun1913,1
934,14aug1920,1
935,17jul1915,2
936,10jul1988,1
937,28may1967,1
938,21oct1925,1
939,12jun1985,2
940,21dec1911,2
941,21dec1977,1
942,12jul1950,2
943,20jul1958,2
944,06feb2006,2
945,07oct1944,1
946,14jun1958,1
947,17mar1987,2
948,23sep1992,1
949,02aug1977,2
950,07dec2012,2
951,11jul1943,2
952,20feb1937,2
953,03jul1982,1
954,25feb2013,2
955,11apr1930,1
956,21apr2003,1
957,06may1953,1
958,10feb1952,1
959,19jan1999,2
960,11feb1942,2
961,20jan1934,1
962,10feb1957,2
963,04nov1963,1
964,29sep1968,2
965,18dec1927,1
966,15aug1985,1
967,20feb1995,2
968,02jun1994,2
969,30aug1948,1
970,18aug2001,2
971,08sep1987,1
972,12feb1989,2
973,23nov1937,2
974,07sep1996,2
975,08feb1959,1
976,22nov1912,1
977,03may1951,1
978,10feb1942,2
979,12jan1969,2
980,10jan1952,1
981,20oct1983,2
982,22sep1912,1
983,25oct1933,1
984,19sep1999,1
985,29dec1982,2
986,25dec1941,1
987,29sep1926,1
988,18jun2008,1
989,14may1999,1
990,20dec1962,1
991,08dec1980,2
992,25may2004,2
993,04jun1996,2
994,13nov1933,1
995,06feb1914,1
996,14jul1949,1
997,14mar1945,2
998,30jul1958,1
999,21apr1913,2
1000,30may1924,2
1001,16nov2005,2
1002,28jan1977,2
1003,27jun1965,1
1004,10may1944,2
1005,25dec1945,1
1006,10may2003,1
1007,22jun1959,1
1008,15sep2005,2
1009,12mar2002,1
1010,28jan2008,2
1011,03dec1981,2
1012,22sep1914,1
1013,27apr2011,1
1014,26aug1977,2
1015,02aug1968,1
1016,24feb1915,2
1017,20jun1938,2
1018,21aug2012,2
1019,29dec1935,2
1020,27apr1975,1
1021,16feb1943,2
1022,07nov1985,2
1023,22feb1970,1
1024,05mar1922,1
1025,13may1921,1
1026,17jun1963,1
1027,02jul1944,2
1028,24may1983,2
1029,29apr1964,2
1030,28sep1934,1
1031,06aug1963,2
1032,07jan1977,1
1033,05sep1922,1
1034,03sep1991,2
1035,07sep1933,1
1036,14sep1929,1
1037,24jan1961,1
1038,14oct1925,2
1039,02jun1978,1
1040,31jan1982,2
1041,28dec1997,2
1042,09jan1912,2
1043,25may1918,1
1044,29mar2005,1
1045,03aug1920,2
1046,23apr1919,1
1047,13dec1945,2
1048,10aug1969,1
1049,12jun1997,1
1050,15jun1936,2
1051,21dec1967,1
1052,11jan2001,2
1053,14may1938,2
1054,10jun1971,2
1055,12nov1954,1
1056,25dec1917,2
1057,22aug2001,2
1058,03sep1978,2
1059,28apr1995,2
1060,15dec2005,1
1061,12feb1955,2
1062,15may2007,2
1063,10feb1971,2
1064,28nov2009,2
1065,29dec1914,2
1066,08oct1927,1
1067,08feb2008,2
1068,08sep1993,1
1069,12jun1970,1
1070,15sep1972,1
1071,27feb1918,1
1072,29jan1974,2
1073,17jan1979,1
1074,29may1971,1
1075,28jan1988,1
1076,05jan1974,2
1077,25nov1996,1
1078,03jul1971,2
1079,29jan1930,1
1080,08jan1960,1
1081,29sep1913,2
1082,02apr1983,2
1083,27jul1931,2
1084,16dec1933,1
1085,25nov1933,1
1086,29jan1952,2
1087,16may1975,2
1088,10mar1960,2
1089,07dec1998,2
1090,12aug2002,1
1091,01oct1911,1
1092,16feb1934,2
1093,25may1972,2
1094,05apr1935,2
1095,27dec1943,1
1096,22jul1973,2
1097,22jul1941,2
1098,06oct2000,1
1099,23sep1926,1
1100,04sep1916,2
1101,11jul1971,2
1102,15jan1948,2
1103,07mar1913,2
1104,18aug1993,2
1105,25feb1943,2
1106,30mar1961,1
1107,21may1924,2
1108,16dec2003,2
1109,01mar1996,2
1110,13oct1977,2
1111,05feb1929,1
1112,01apr1973,1
1113,18apr2007,2
1114,06nov1926,2
1115,22mar1930,1
1116,02mar1980,2
1117,10dec1992,1
1118,02sep1915,2
1119,24oct1966,1
1120,27apr1970,1
1121,12nov1911,1
1122,09mar1927,2
1123,02apr1974,1
1124,02aug1938,2
1125,10mar1983,1
1126,21jun1956,1
1127,30nov1929,1
1128,07feb1988,1
1129,17aug2007,2
1130,27jan1977,2
1131,08oct1993,1
1132,29sep1939,2
1133,08jun1975,1
1134,24feb1996,2
1135,01nov1932,1
1136,18jan1997,2
1137,12jan1952,1
1138,08aug1967,2
1139,15jan1919,2
1140,27may1962,1
1141,28jul1911,2
1142,05jul1923,2
1143,09nov1954,2
1144,17may1939,1
1145,29sep1910,1
1146,26jun1976,1
1147,31may1953,1
1148,20jul1941,1
1149,08aug1955,1
1150,28sep1961,2
1151,02oct1953,1
1152,03nov1966,2
1153,05apr1989,2
1154,10apr1972,1
1155,18apr1999,2
1156,20feb1932,2
1157,23mar1961,2
1158,18jul1942,1
1159,20may1986,1
1160,06sep1955,2
1161,15nov1996,2
1162,02may2009,1
1163,31aug1947,2
1164,25nov1935,1
1165,18jul2001,2
1166,12may1996,1
1167,12aug2007,1
1168,27jun1991,1
1169,20mar1954,1
1170,28mar1979,2
1171,14sep1971,1
1172,07jun1970,1
1173,14may1950,2
1174,05nov1987,2
1175,30aug1997,2
1176,30jun1970,1
1177,09jun1950,1
1178,02aug1941,1
1179,24feb1959,1
1180,28oct1982,2
1181,03dec1999,2
1182,02may1919,2
1183,04oct1931,2
1184,12may1978,2
1185,16jan1923,2
1186,20sep1968,1
1187,27jun1920,2
1188,11sep1912,1
1189,08may1999,1
1190,20jun2005,1
1191,23feb1978,2
1192,11nov1980,1
1193,22jul1976,2
1194,18may1947,1
1195,15apr1991,2
1196,20aug1984,2
1197,25feb1931,2
1198,07dec1917,1
1199,13oct1973,1
1200,08oct1926,1
1201,29oct1993,2
1202,12sep1963,1
1203,22mar1934,2
1204,09mar2008,2
1205,24oct1935,1
1206,18jun1916,2
1207,15mar1926,2
1208,10jun1960,2
1209,11jun2011,1
1210,20oct1990,2
1211,28jul2001,2
1212,16jan1914,2
1213,28jan1973,2
1214,15mar1989,2
1215,18may1999,2
1216,22may1939,1
1217,25jul1986,1
1218,30sep2005,1
1219,09jul1948,1
1220,04may1941,1
1221,28jan1988,1
1222,27jan2009,2
1223,03may1942,1
1224,05dec1953,2
1225,18may1969,1
1226,02feb1921,1
1227,14oct1955,2
1228,22mar1989,1
1229,13may2012,2
1230,30oct2008,1
1231,03mar1940,2
1232,15nov2012,1
1233,28oct1956,1
1234,03apr1951,2
1235,04sep1923,1
1236,15sep1930,2
1237,05dec1945,1
1238,25may2008,1
1239,23sep1919,2
1240,02sep1914,1
1241,29jul1932,2
1242,27nov1981,2
1243,21nov1980,2
1244,01jan2005,2
1245,20nov1999,2
1246,21jun1988,1
1247,07sep1931,2
1248,09mar1976,1
1249,24feb1928,2
1250,12sep1942,2
1251,21feb1963,2
1252,09dec1910,2
1253,12apr1941,2
1254,08may1955,1
1255,19jun1910,2
1256,18jul1981,2
1257,03oct1943,1
1258,07mar1960,1
1259,13oct1992,2
1260,06jun1917,1
1261,10feb2000,1
1262,02jun1952,1
1263,27aug1971,2
1264,13jul1944,1
1265,22nov2007,2
1266,10aug1979,1
1267,25mar2006,1
1268,25mar1999,2
1269,15aug1986,1
1270,18feb1963,2
1271,07dec1928,2
1272,03mar1915,1
1273,01mar1988,1
1274,09dec1979,2
1275,02jun1956,1
1276,14may1980,1
1277,03jun1979,2
1278,03feb1974,2
1279,03dec1938,2
1280,15aug1997,2
1281,30aug1990,2
1282,24oct1937,2
1283,03nov1944,2
1284,05aug1997,2
1285,03feb1948,1
1286,12jan1910,1
1287,26sep1925,1
1288,25apr1968,2
1289,21may1951,1
1290,15sep1930,2
1291,21jul1932,2
1292,22mar1918,1
1293,19aug1923,2
1294,31aug1942,2
1295,14mar2002,1
1296,12jul1954,1
1297,30may1982,2
1298,12apr1958,1
1299,18apr1997,1
1300,30apr1978,1
1301,05jun1925,1
1302,02feb2000,1
1303,16dec2002,1
1304,22mar2007,2
1305,25oct1932,2
1306,06feb1967,2
1307,10nov1930,2
1308,15apr2008,2
1309,26apr1935,2
1310,19jul1952,2
1311,18feb1929,1
1312,20nov1949,1
1313,06oct1994,1
1314,20nov1974,1
1315,18sep1969,1
1316,25jan1961,2
1317,03mar1935,1
1318,13may1989,2
1319,14sep1939,2
1320,17mar1952,2
1321,12oct2003,1
1322,25jan2000,2
1323,02feb2008,1
1324,29aug1936,1
1325,24mar1988,1
1326,06oct1999,1
1327,26jun1990,1
1328,13may1919,1
1329,20jan1910,2
1330,24sep1947,1
1331,07may1978,1
1332,08sep1923,2
1333,25oct1962,2
1334,17jan1992,1
1335,21aug1924,2
1336,26aug1952,1
1337,07sep1970,2
1338,12nov1967,1
1339,28oct1928,1
1340,17jun2009,2
1341,17oct1991,1
1342,19sep1996,1
1343,13may1973,2
1344,05nov1935,2
1345,02dec1996,2
1346,04dec2010,2
1347,23jun2007,1
1348,09nov1920,2
1349,02nov1918,1
1350,16mar1941,1
1351,29nov1931,1
1352,09aug1941,2
1353,24sep1982,2
1354,17apr1948,1
1355,05jun2005,2
1356,19may2003,1
1357,13sep1953,2
1358,22sep1949,2
1359,23nov1961,1
1360,26dec1946,2
1361,17aug1939,1
1362,03nov1994,2
1363,26jul1948,2
1364,22jul1910,2
1365,26aug2001,1
1366,21nov1917,1
1367,09jul1996,1
1368,14oct2007,2
1369,12jan1958,1
1370,14dec1986,2
1371,04may1954,1
1372,22sep1981,2
